"Date","S_level_ft","N_level_ft","S_level_m","N_level_m","S_area_m2","N_area_m2","S_vol_m3","N_vol_m3","Total_vol_m3","natlev_m","natlev_ft"
"1851-05-01",4201.46091954023,4201.46091954023,1280.60528827586,1280.60528827586,2980315880.09954,1600882011.33468,13313453654.9291,7723838568.82829,21037292223.7574,1280.60528827586,4201.46091954022
"1851-06-01",4201.71034482759,4201.71034482759,1280.68131310345,1280.68131310345,3022858193.19862,1610996783.50245,13542892639.3359,7846198451.32182,21389091090.6577,1280.68131310345,4201.71034482759
"1851-07-01",4201.95172413793,4201.95172413793,1280.75488551724,1280.75488551724,3060118186.39099,1620425388.12394,13765928325.4675,7964872782.83837,21730801108.3059,1280.75488551724,4201.95172413793
"1851-08-01",4201.78260869565,4201.78260869565,1280.70333913043,1280.70333913043,3034013048.30063,1613819508.61203,13609664813.6766,7881727040.00299,21491391853.6796,1280.70333913043,4201.78260869564
"1851-09-01",4201.51304347826,4201.51304347826,1280.62117565217,1280.62117565217,2992402198.75889,1603289924.07163,13360585208.9074,7749195084.67741,21109780293.5848,1280.62117565217,4201.51304347825
"1851-10-01",4201.25217391304,4201.25217391304,1280.5416626087,1280.5416626087,2926512218.42477,1590741747.13923,13126079871.1427,7622652189.74308,20748732060.8857,1280.5416626087,4201.25217391306
"1851-11-01",4200.98260869565,4200.98260869565,1280.45949913044,1280.45949913044,2858755179.6383,1578160219.43215,12884833008.9284,7492073501.49355,20376906510.422,1280.45949913044,4200.98260869567
"1851-12-01",4200.72173913043,4200.72173913043,1280.37998608696,1280.37998608696,2817357498.88188,1573185591.36643,12661466847.595,7366957226.98858,20028424074.5836,1280.37998608696,4200.72173913045
"1852-01-01",4200.78888888889,4200.78888888889,1280.40045333333,1280.40045333333,2828013568.55434,1574466097.47919,12718962952.0662,7399163082.82209,20118126034.8883,1280.40045333333,4200.78888888888
"1852-02-01",4201.13333333333,4201.13333333333,1280.50544,1280.50544,2895881357.16264,1584968812.43435,13019406455.3068,7565045962.90092,20584452418.2078,1280.50544,4201.13333333333
"1852-03-01",4201.45555555556,4201.45555555556,1280.60365333333,1280.60365333333,2978933326.50648,1600621444.33494,13308638846.9782,7721238455.98061,21029877302.9588,1280.60365333333,4201.45555555554
"1852-04-01",4201.8,4201.8,1280.70864,1280.70864,3036697619.24124,1614498836.64751,13625734465.6118,7890277488.7414,21516011954.3532,1280.70864,4201.8
"1852-05-01",4202.13333333333,4202.13333333333,1280.81024,1280.81024,3082788409.38139,1629024325.08684,13936415351.8129,8054994852.26485,21991410204.0778,1280.81024,4202.13333333333
"1852-06-01",4202.47777777778,4202.47777777778,1280.91522666667,1280.91522666667,3122102155.62229,1646366799.85306,14261605065.364,8226495126.99613,22488100192.3601,1280.91522666667,4202.47777777779
"1852-07-01",4202.81111111111,4202.81111111111,1281.01682666667,1281.01682666667,3160748288.17701,1657576250.08828,14581531305.7086,8394499677.52765,22976030983.2362,1281.01682666667,4202.81111111112
"1852-08-01",4202.74027777778,4202.74027777778,1280.99523666667,1280.99523666667,3152526869.18902,1655278841.04506,14513467648.5652,8358767798.73036,22872235447.2956,1280.99523666667,4202.74027777779
"1852-09-01",4202.525,4202.525,1280.92962,1280.92962,3127540203.63612,1648296519.4428,14306607514.1,8250170912.18447,22556778426.2845,1280.92962,4202.525
"1852-10-01",4202.31666666667,4202.31666666667,1280.86612,1280.86612,3103713467.86376,1638254997.13953,14109500199.3425,8146277256.55431,22255777455.8968,1280.86612,4202.31666666667
"1852-11-01",4202.10138888889,4202.10138888889,1280.80050333333,1280.80050333333,3079142376.46274,1627415950.41043,13906256628.3692,8039089584.84521,21945346213.2144,1280.80050333333,4202.10138888888
"1852-12-01",4201.90867768595,4201.90867768595,1280.74176495868,1280.74176495868,3053473414.28908,1618743935.08058,13726153189.2434,7943708960.20419,21669862149.4475,1280.74176495868,4201.90867768596
"1853-01-01",4202.17768595041,4202.17768595041,1280.82375867769,1280.82375867769,3087850669.96241,1631257440.33992,13978288620.7243,8077078198.76368,22055366819.488,1280.82375867769,4202.17768595043
"1853-02-01",4202.44669421488,4202.44669421488,1280.90575239669,1280.90575239669,3118554380.86556,1644801769.80434,14232259099.4564,8211018495.95377,22443277595.4102,1280.90575239669,4202.44669421486
"1853-03-01",4202.68966942149,4202.68966942149,1280.97981123967,1280.97981123967,3146652904.46295,1653637409.10966,14464838145.3405,8333238410.68211,22798076556.0226,1280.97981123967,4202.68966942149
"1853-04-01",4202.95867768595,4202.95867768595,1281.06180495868,1281.06180495868,3177875911.33482,1662362425.85538,14723327834.0206,8468939644.1143,23192267478.1349,1281.06180495868,4202.95867768596
"1853-05-01",4203.21900826446,4203.21900826446,1281.14115371901,1281.14115371901,3207637009.82625,1679090232.29052,14977399665.0407,8601800916.257,23579200581.2977,1281.14115371901,4203.21900826447
"1853-06-01",4203.48801652893,4203.48801652893,1281.22314743802,1281.22314743802,3238301489.88544,1697990798.92233,15240704935.0999,8739390661.20878,23980095596.3087,1281.22314743802,4203.48801652894
"1853-07-01",4203.74834710744,4203.74834710744,1281.30249619835,1281.30249619835,3263781927.38071,1712117268.96762,15499635080.3647,8875065690.51877,24374700770.8835,1281.30249619835,4203.74834710745
"1853-08-01",4203.98765432099,4203.98765432099,1281.37543703704,1281.37543703704,3287018587.80066,1724918218.98298,15737837639.719,8999896030.53838,24737733670.2574,1281.37543703704,4203.987654321
"1853-09-01",4203.7962962963,4203.7962962963,1281.31711111111,1281.31711111111,3268437779.58881,1714682152.66078,15547362933.3307,8900077529.72947,24447440463.0602,1281.31711111111,4203.79629629629
"1853-10-01",4203.61111111111,4203.61111111111,1281.26066666667,1281.26066666667,3250456352.28963,1704776282.02784,15363032572.3365,8803478980.5736,24166511552.9101,1281.26066666667,4203.61111111112
"1853-11-01",4203.41975308642,4203.41975308642,1281.20234074074,1281.20234074074,3230520082.21735,1693194597.7855,15173888682.4345,8704475935.95168,23878364618.3862,1281.20234074074,4203.41975308642
"1853-12-01",4203.23456790123,4203.23456790123,1281.1458962963,1281.1458962963,3209410666.00986,1680183455.02951,14992629436.4086,8609759208.76556,23602388645.1741,1281.1458962963,4203.23456790125
"1854-01-01",4203.04320987654,4203.04320987654,1281.08757037037,1281.08757037037,3187597602.59227,1666738607.51302,14805328215.4878,8511885257.32567,23317213472.8135,1281.08757037037,4203.04320987654
"1854-02-01",4203.16470588235,4203.16470588235,1281.12460235294,1281.12460235294,3201447035.26562,1675274937.6432,14924248497.2987,8574026859.12601,23498275356.4247,1281.12460235294,4203.16470588235
"1854-03-01",4203.3568627451,4203.3568627451,1281.18317176471,1281.18317176471,3223351158.91052,1688775911.65818,15112331620.854,8672309392.52872,23784641013.3827,1281.18317176471,4203.35686274511
"1854-04-01",4203.56960784314,4203.56960784314,1281.24801647059,1281.24801647059,3246426397.1118,1702556201.60909,15321720885.541,8781829541.02331,24103550426.5643,1281.24801647059,4203.56960784314
"1854-05-01",4203.77549019608,4203.77549019608,1281.31076941176,1281.31076941176,3266417513.34387,1713569198.95953,15526652875.1113,8889224398.61134,24415877273.7227,1281.31076941176,4203.77549019606
"1854-06-01",4203.98823529412,4203.98823529412,1281.37561411765,1281.37561411765,3287075000.1216,1724949296.22418,15738415931.0476,9000199084.81023,24738615015.8578,1281.37561411765,4203.98823529413
"1854-07-01",4204.19411764706,4204.19411764706,1281.43836705882,1281.43836705882,3314447995.26871,1744441709.84811,15946889261.8127,9109893456.00862,25056782717.8213,1281.43836705882,4204.19411764705
"1854-08-01",4204.39444444444,4204.39444444444,1281.49942666667,1281.49942666667,3341517668.30842,1763908174.47676,16149945957.0151,9216763424.22105,25366709381.2362,1281.49942666667,4204.39444444446
"1854-09-01",4204.22222222222,4204.22222222222,1281.44693333333,1281.44693333333,3318245698.17444,1747172730.98664,15975376824.2693,9124886632.62441,25100263456.8937,1281.44693333333,4204.22222222221
"1854-10-01",4204.05555555556,4204.05555555556,1281.39613333333,1281.39613333333,3295724436.75731,1730977140.51438,15806438953.8914,9035973608.50988,24842412562.4013,1281.39613333333,4204.05555555554
"1854-11-01",4203.88333333333,4203.88333333333,1281.34364,1281.34364,3276889050.42042,1719337911.85881,15633998203.0081,8945478847.83807,24579477050.8462,1281.34364,4203.88333333333
"1854-12-01",4203.71666666667,4203.71666666667,1281.29284,1281.29284,3260705765.84992,1710422628.28848,15468100878.1007,8858540153.59114,24326641031.6918,1281.29284,4203.71666666667
"1855-01-01",4203.65988023952,4203.65988023952,1281.27553149701,1281.27553149701,3255191820.38972,1707385025.68347,15411576579.9863,8828918526.63586,24240495106.6222,1281.27553149701,4203.65988023953
"1855-02-01",4203.84550898204,4203.84550898204,1281.33211113772,1281.33211113772,3273216316.97449,1717314622.95191,15596348450.8133,8925748449.5549,24522096900.3682,1281.33211113772,4203.84550898202
"1855-03-01",4204.01317365269,4204.01317365269,1281.38321532934,1281.38321532934,3289997473.27605,1726858740.86197,15763479503.4265,9013363789.60669,24776843293.0332,1281.38321532934,4204.01317365269
"1855-04-01",4204.19880239521,4204.19880239521,1281.43979497006,1281.43979497006,3315081033.89696,1744896943.42435,15951637850.0797,9112392666.7667,25064030516.8464,1281.43979497006,4204.19880239521
