,time,value,days
359,1999-10-18,37.5763936,359
360,1999-10-19,46.8359872,360
361,1999-10-20,47.4023232,361
362,1999-10-21,47.3740064,362
363,1999-10-22,47.0342048,363
364,1999-10-23,48.195193599999996,364
365,1999-10-24,48.13856,365
366,1999-10-25,49.412816,366
367,1999-10-26,53.2072672,367
368,1999-10-27,51.8480608,368
369,1999-10-28,76.172192,369
370,1999-10-29,86.3945568,370
371,1999-10-30,59.323696,371
372,1999-10-31,60.3714176,372
373,1999-11-01,61.1076544,373
374,1999-11-02,78.9189216,374
375,1999-11-03,66.5161632,375
376,1999-11-04,53.094,376
377,1999-11-05,53.603702399999996,377
378,1999-11-06,75.7757568,378
379,1999-11-07,70.4521984,379
380,1999-11-08,57.7379552,380
381,1999-11-09,59.2670624,381
382,1999-11-10,61.051020799999996,382
383,1999-11-11,63.1747808,383
384,1999-11-12,59.8617152,384
385,1999-11-13,61.6739904,385
386,1999-11-14,62.721712,386
387,1999-11-15,59.012211199999996,387
388,1999-11-16,64.6189376,388
389,1999-11-17,57.879539199999996,389
390,1999-11-18,67.7621024,390
391,1999-11-19,65.7516096,391
392,1999-11-20,64.1941856,392
393,1999-11-21,69.91417919999999,393
394,1999-11-22,65.1852736,394
395,1999-11-23,66.9975488,395
396,1999-11-24,56.407065599999996,396
397,1999-11-25,59.8617152,397
398,1999-11-26,68.9230912,398
399,1999-11-27,52.3577632,399
400,1999-11-28,66.5727968,400
401,1999-11-29,60.3714176,401
402,1999-11-30,70.508832,402
403,1999-12-01,58.9838944,403
404,1999-12-02,72.2361568,404
405,1999-12-03,76.880112,405
406,1999-12-04,65.6100256,406
407,1999-12-05,71.4432864,407
408,1999-12-06,70.0557632,408
409,1999-12-07,63.854383999999996,409
410,1999-12-08,59.6918144,410
411,1999-12-09,52.8674656,411
412,1999-12-10,51.3100416,412
413,1999-12-11,46.326284799999996,413
414,1999-12-12,50.4605376,414
415,1999-12-13,54.2833056,415
416,1999-12-14,47.7704416,416
417,1999-12-15,54.6231072,417
418,1999-12-16,52.527664,418
419,1999-12-17,45.1086624,419
420,1999-12-18,44.089257599999996,420
421,1999-12-19,45.7599488,421
422,1999-12-20,49.129647999999996,422
423,1999-12-21,48.563311999999996,423
424,1999-12-22,65.9215104,424
425,1999-12-23,76.880112,425
426,1999-12-24,63.7128,426
427,1999-12-25,52.4143968,427
428,1999-12-26,48.8747968,428
429,1999-12-27,48.9031136,429
430,1999-12-28,48.563311999999996,430
431,1999-12-29,57.6813216,431
432,1999-12-30,67.5638848,432
