,sample_dt,mean_air_T(C),avg_wind(m/s),s_pres(kPa),dp_T(C),max_air_T(K),min_air_T(K),evap(m/d)
1905,2022-03-21,5.296296296296297,3.984051719274742,87.58248447875002,-8.02662037037037,280.81666666666666,276.0759259259259,0.0027598439491475
1906,2022-03-22,7.814814814814814,3.203380585104601,87.86670813020834,-2.853009259259259,284.18703703703704,277.7425925925926,0.0026838912991282
1907,2022-03-23,8.277777777777779,2.9988403026646924,87.71052431395833,-1.354166666666667,285.63148148148144,277.22407407407405,0.0027736073737799
1908,2022-03-24,11.851851851851851,2.8438865900491357,87.32500513958334,1.741898148148148,289.187037037037,280.8166666666666,0.0030715623847134
1909,2022-03-25,14.555555555555555,2.9664173918447103,87.07877076437501,3.417824074074073,291.55740740740737,283.8537037037037,0.0033708656755123
1910,2022-03-26,15.629629629629628,2.331511385729905,86.64862490666667,2.990740740740741,292.7425925925926,284.81666666666666,0.0033368044650073
1911,2022-03-27,18.61111111111111,4.352166435891335,86.17537318291667,-0.7106481481481481,296.3722222222222,287.1499999999999,0.0052808013612757
1912,2022-03-28,18.537037037037035,6.3399942844237875,85.83935071083334,-4.439814814814815,295.4833333333333,287.8907407407407,0.0067890260237773
1913,2022-03-29,13.870370370370372,6.592638705704045,86.03838710770833,2.5625,290.5203703703704,283.5203703703704,0.0047821822669681
1914,2022-03-30,12.296296296296298,3.8683154064368135,86.63737685916666,-0.5428240740740741,288.4092592592592,282.4833333333333,0.0036140587893641
1915,2022-03-31,11.222222222222223,3.9890938241898173,86.52738046479166,-1.1967592592592595,288.187037037037,280.55740740740737,0.0037326196074415
1916,2022-04-01,8.648148148148147,3.2394974579982,86.93180376708335,-5.049768518518519,284.9277777777777,278.6685185185185,0.0031653431950721
1917,2022-04-02,12.074074074074074,4.574144121063272,86.88468406416666,-2.451388888888889,289.5944444444444,280.8537037037037,0.0044091350277906
1918,2022-04-03,12.703703703703704,3.6837885128452594,86.9015798675,-8.880787037037038,289.55740740740737,282.1499999999999,0.0043549197612691
1919,2022-04-04,12.314814814814817,4.558429786690815,86.19217705166668,-4.291666666666667,289.55740740740737,281.3722222222222,0.0046137029747269
1920,2022-04-05,10.777777777777777,10.420012697377175,87.04566149187501,-9.17013888888889,289.18703703703704,278.66851851851845,0.0080050421004087
1921,2022-04-06,6.351851851851852,3.3621865830923925,88.12616489166666,-11.493055555555554,283.261111111111,275.7425925925926,0.0034008414035441
1922,2022-04-07,9.388888888888893,2.4891010208469457,88.23873425520834,-6.663194444444445,287.11296296296297,277.9648148148148,0.0034165631567833
1923,2022-04-08,12.962962962962962,2.610993162171868,87.31376753895833,-1.9652777777777777,290.7796296296296,281.4462962962963,0.0038243239848372
1924,2022-04-09,13.203703703703702,7.57247654288325,86.56505373833335,-10.244212962962964,291.2611111111111,281.4462962962962,0.0073054046695429
1925,2022-04-10,7.537037037037038,5.446040796827239,86.60429856000002,-12.521990740740742,285.55740740740737,275.8166666666666,0.0049452042829361
1926,2022-04-11,9.574074074074074,6.082404395047164,85.34011111812501,-4.564814814814815,285.4462962962963,280.0018518518518,0.0045903573293247
1927,2022-04-12,3.87037037037037,8.143436669456744,86.18918213333333,-11.648148148148149,279.8907407407407,274.15000000000003,0.0047756607059931
1928,2022-04-13,4.388888888888889,4.579755383829189,86.72067547958333,-10.631944444444445,281.11296296296297,273.9648148148148,0.0036362577630948
1929,2022-04-14,9.055555555555555,4.072974531314622,86.33659030041667,-4.751157407407407,286.7055555555556,277.70555555555546,0.0041179382380411
1930,2022-04-15,10.074074074074074,3.818254616089087,86.53086569854167,-0.1354166666666666,286.4462962962963,280.0018518518518,0.0035394409522777
1931,2022-04-16,11.129629629629632,4.66270639716607,86.31890970875,0.5000000000000001,288.4833333333333,280.0759259259259,0.0042522104447943
1932,2022-04-17,11.296296296296296,4.46245408507368,87.3715486425,-3.2407407407407405,288.70555555555546,280.18703703703704,0.0045976943606465
1933,2022-04-18,12.75925925925926,3.1920405020273734,86.714583396875,0.690972222222222,290.8166666666666,281.0018518518518,0.0042169557342003
1934,2022-04-19,14.24074074074074,4.801808151859874,86.14053474041668,-2.002314814814815,291.0759259259259,283.7055555555555,0.0051947667397668
1935,2022-04-20,11.77777777777778,3.387157090212956,86.44672217833335,0.0567129629629628,288.9648148148148,280.89074074074074,0.0040028648432994
1936,2022-04-21,16.240740740740744,7.792428782625334,85.90098958541668,-0.6041666666666667,293.15,285.63148148148144,0.0072376208020323
1937,2022-04-22,11.055555555555555,7.508644546641959,86.09571868020834,0.9212962962962964,288.3722222222222,280.03888888888883,0.0052481393338255
1938,2022-04-23,9.796296296296296,4.71298437818019,87.05592712833334,-3.668981481481482,285.55740740740737,280.33518518518514,0.0041105338549181
1939,2022-04-24,10.5,3.2735413058393203,87.43354821979167,-3.195601851851852,286.29814814814813,281.0018518518518,0.0036331388057482
1940,2022-04-25,11.907407407407408,3.334489955507636,87.41822070041667,-2.8275462962962967,288.7055555555555,281.4092592592593,0.0041774094512423
1941,2022-04-26,14.48148148148148,3.7538535368652832,86.69843409770834,0.5428240740740742,291.0759259259259,284.187037037037,0.0045606559186413
1942,2022-04-27,16.240740740740744,4.246888640672936,86.41231247541668,2.454861111111111,293.22407407407405,285.5574074074074,0.0051143871721214
1943,2022-04-28,15.5,5.469327029243707,86.10586291479169,0.9131944444444446,292.7055555555555,284.59444444444443,0.0058051808010855
1944,2022-04-29,12.740740740740742,5.4520236538113585,87.05927590312501,-6.664351851851853,290.7796296296296,281.0018518518518,0.0060898292981703
1945,2022-04-30,13.01851851851852,4.304143262756367,86.864540540625,-2.6284722222222223,289.22407407407405,283.11296296296297,0.00474301655287
1946,2022-05-01,12.75925925925926,6.640918810967196,86.307552050625,3.5949074074074074,289.4462962962963,282.3722222222222,0.0049603267742707
1947,2022-05-02,14.51851851851852,6.117414692462969,86.28935408083333,3.60300925925926,292.187037037037,283.15,0.0056435031093341
1948,2022-05-03,13.833333333333334,5.721398347720679,86.75512839416668,-2.7650462962962963,293.7796296296296,280.187037037037,0.0066906254522945
1949,2022-05-04,12.537037037037038,3.6315012253517907,87.15675178125001,1.709490740740741,289.03888888888883,282.33518518518514,0.0041284190246764
