,time,value,pred2
1624,2004-06-12,25.8815552,23.608807757650883
1625,2004-06-13,16.43507072,23.15255478570948
1626,2004-06-14,18.3492864,22.695787377191664
1627,2004-06-15,11.70616512,22.23884261380934
1628,2004-06-16,16.21419968,21.782057715660873
1629,2004-06-17,11.86757088,21.32576970211167
1630,2004-06-18,10.38377056,20.870315052916016
1631,2004-06-19,8.80935648,20.41602936996392
1632,2004-06-20,8.1693968,19.9632470400357
1633,2004-06-21,7.92304064,19.512300898946403
1634,2004-06-22,7.3538729599999995,19.06352189745995
1635,2004-06-23,7.0480515200000005,18.61723876935113
1636,2004-06-24,6.7705468799999995,18.17377770199112
1637,2004-06-25,7.8154368,17.73346200982884
1638,2004-06-26,7.30290272,17.296611811137648
1639,2004-06-27,7.29723936,16.86354370839246
1640,2004-06-28,6.91779424,16.434570472638594
1641,2004-06-29,6.9659328,16.01000073220868
1642,2004-06-30,7.283080960000001,15.590138666138872
1643,2004-07-01,6.736566719999999,15.175283702630386
1644,2004-07-02,6.10510208,14.765730222896105
1645,2004-07-03,5.80211232,14.361767270725913
1646,2004-07-04,5.751142079999999,13.963678268097691
1647,2004-07-05,5.9068844799999995,13.57174073715363
1648,2004-07-06,6.3854384,13.186226028854481
1649,2004-07-07,6.59215104,12.807399058616046
1650,2004-07-08,6.3429632,12.435518049224395
1651,2004-07-09,6.0597952,12.070834281317634
1652,2004-07-10,5.95219136,11.713591851713122
1653,2004-07-11,6.260844479999999,11.364027439850055
1654,2004-07-12,6.02298336,11.022370082607628
1655,2004-07-13,5.796448959999999,10.688840957749262
1656,2004-07-14,6.133418880000001,10.36365317623337
1657,2004-07-15,6.01732,10.047011583620534
1658,2004-07-16,6.011656639999999,9.739112570796639
1659,2004-07-17,6.45056704,9.440143894220304
1660,2004-07-18,8.30531744,9.15028450589203
1661,2004-07-19,6.3288048,8.869704393230998
1662,2004-07-20,5.15648928,8.598564429033837
1663,2004-07-21,6.75638848,8.337016231678076
1664,2004-07-22,7.46714016,8.085202035720803
1665,2004-07-23,5.52460768,7.843254573030991
1666,2004-07-24,5.21878624,7.611296964581722
1667,2004-07-25,5.289578239999999,7.389442623015862
1668,2004-07-26,5.450984,7.177795166086478
1669,2004-07-27,5.28391488,6.976448341060273
1670,2004-07-28,5.43965728,6.7854859601596775
1671,2004-07-29,5.5359344,6.60498184710636
1672,2004-07-30,5.39151872,6.434999794815851
1673,2004-07-31,5.2952416,6.275593534280087
1674,2004-08-01,5.31223168,6.126806714661557
1675,2004-08-02,5.4651423999999995,5.988672894609639
1676,2004-08-03,5.35470688,5.861215544796716
1677,2004-08-04,5.92104288,5.744448061658476
1678,2004-08-05,5.4934592,5.638373792309829
1679,2004-08-06,5.2952416,5.542986070594847
1680,2004-08-07,4.96393504,5.4582682642160245
1681,2004-08-08,4.78270752,5.384193832875578
1682,2004-08-09,5.07437056,5.320726397348291
1683,2004-08-10,5.29240992,5.267819819392982
1684,2004-08-11,5.711498560000001,5.225418292397032
1685,2004-08-12,5.81627072,5.193456442635769
1686,2004-08-13,5.48496416,5.1718594410163305
1687,2004-08-14,5.2952416,5.160543125163561
1688,2004-08-15,5.2669248,5.15941413169301
1689,2004-08-16,5.1961328,5.168370038505056
1690,2004-08-17,5.306568319999999,5.187299516921753
1691,2004-08-18,6.26933952,5.216082493477173
1692,2004-08-19,7.435991680000001,5.25459032116071
1693,2004-08-20,6.7903686400000005,5.302685959901522
1694,2004-08-21,5.73698368,5.360224166072314
1695,2004-08-22,5.68601344,5.427051690779438
1696,2004-08-23,6.19571584,5.503007486696819
1697,2004-08-24,8.226030399999999,5.58792292319099
1698,2004-08-25,6.69125984,5.681622009475079
1699,2004-08-26,6.107933760000001,5.783921625520441
1700,2004-08-27,6.796032,5.894631760445507
1701,2004-08-28,7.6115558399999985,6.01355575809315
1702,2004-08-29,7.35670464,6.140490569499322
1703,2004-08-30,7.039556480000001,6.2752270119480755
1704,2004-08-31,6.7393984,6.417550034300501
1705,2004-09-01,6.63745792,6.567238988277848
1706,2004-09-02,6.648784640000001,6.724067905372588
1707,2004-09-03,9.74947424,6.887805779054533
1708,2004-09-04,17.386515199999998,7.0582168519333415
1709,2004-09-05,24.494032,7.23506090753317
1710,2004-09-06,11.9213728,7.418093566329764
1711,2004-09-07,8.1977136,7.6070665856961215
1712,2004-09-08,7.26609088,7.801728163397795
1713,2004-09-09,7.00274464,8.001823244275702
1714,2004-09-10,6.72524,8.207093829750372
1715,2004-09-11,6.42508192,8.41727928977857
1716,2004-09-12,6.23819104,8.632116676891046
1717,2004-09-13,6.29482464,8.851341041937284
1718,2004-09-14,6.518527359999999,9.074685751162168
1719,2004-09-15,6.67426976,9.301882804237714
1720,2004-09-16,6.5694976,9.532663152872212
1721,2004-09-17,6.2551811200000005,9.766757019619204
1722,2004-09-18,6.26933952,10.003894216508058
1723,2004-09-19,6.14757728,10.243804463119192
1724,2004-09-20,8.090109759999999,10.486217703727407
1725,2004-09-21,10.414919040000001,10.730864423138339
1726,2004-09-22,9.60222688,10.977475960845235
1727,2004-09-23,8.66777248,11.225784823134896
1728,2004-09-24,8.82634656,11.475524992775087
1729,2004-09-25,8.88581184,11.726432235918404
1730,2004-09-26,9.83442464,11.978244405861204
1731,2004-09-27,10.4205824,12.23070174330075
1732,2004-09-28,10.6612752,12.483547172737309
1733,2004-09-29,19.12516672,12.736526594673743
1734,2004-09-30,16.21703136,12.98938917326975
1735,2004-10-01,12.8558272,13.241887619113793
1736,2004-10-02,12.516025599999999,13.493778466782096
1737,2004-10-03,10.29598848,13.744822346860063
1738,2004-10-04,13.396678080000001,13.994784252108877
1739,2004-10-05,15.129666239999999,14.24343379746688
